Pulse,Dim.1,Dim.2
SI,-0.20190234,5.2819867
SI,7.9841375,1.8507947
SI,10.596607,2.4042249
SI,11.139086,-0.16234533
SI,9.721506,-1.3649452
SI,11.154361,-1.169746
SI,11.271753,-1.1939311
SI,11.261378,-0.97210646
SI,11.279737,-0.83529425
SI,9.738533,0.57027715
SI,8.0042925,2.039356
SI,7.610262,3.1623247
SI,7.7330685,3.0956388
SI,8.233489,2.5819032
SI,10.871407,-0.62165207
SI,10.71275,-0.41428116
SI,10.661008,-0.36769155
SI,9.915259,1.4158391
SI,9.782718,1.5505962
SI,9.845435,1.4901439
SI,8.475937,0.83674574
SI,7.2300367,1.1633286
SI,9.834304,-1.4219993
SI,5.4635777,3.4378693
SI,6.5476737,1.5334854
SI,4.6866355,4.2102613
SI,5.306853,3.495529
SI,6.6184816,1.2796538
SI,9.025121,-0.49559426
SI,10.579521,0.09097999
SI,10.640093,0.5625897
SI,11.0512295,2.4435372
