meanfreq,sd,skew,kurt,sp.ent,time.ent,entropy,sfm,meandom,mindom,maxdom,dfrange,modindx,startdom,enddom,dfslope,meanpeakf,Delta.Time.s,Freq.5%.Hz,Freq.95%.Hz,Agg.Entropy.bits,Avg.Entropy.bits,BW.50%.Hz,BW.90%.Hz,Center.Freq.Hz,Center.Time.Rel.,Dur.50%.s,Dur.90%.s,Freq.25%.Hz,Freq.75%.Hz,Peak.Freq.Hz,PFC.Avg.Slope.Hz/ms,PFC.Max.Freq.Hz,PFC.Max.Slope.Hz/ms,PFC.Min.Freq.Hz,PFC.Min.Slope.Hz/ms,PFC.Num.Inf.Pts,Peak.Time.Relative,Time.25%.Rel.,Time.5%.Rel.,Time.75%.Rel.,Time.95%.Rel.,Freq_IQR,Time_IQR,F0_min,F0_max,Pulse.Type,member_V1,member_V2,Typicality(d),Cluster,Typical,Atypical,Cluster_Typical,Cluster_Atypical
0.58,0.13,5.96,46.57,0.81,0.85,0.69,0.27,0.52,0.22,0.66,0.44,2.54,0.26,0.33,0.05,0.61,1.21,328.35,656.7,4.83,3.84,166.87,328.35,640.56,0.66,0.24,0.86,484.45,651.32,651.32,-0.04,656.7,7.61,236.84,-12.17,9,0.66,0.52,0.16,0.72,0.88,166.87,0.2,0.1,0.66,HR,0.998786709,0.001213291,0.997573418,1,TRUE,FALSE,1,NA
0.56,0.13,4.13,21.62,0.84,0.85,0.72,0.31,0.47,0.11,0.64,0.53,2.04,0.24,0.11,-0.1,0.57,1.28,317.59,629.79,5.34,4.02,129.19,312.2,597.49,0.61,0.24,0.79,484.45,613.64,619.02,0.41,629.79,20.16,80.74,-6.47,12,0.58,0.54,0.24,0.73,0.87,129.19,0.19,0.12,0.63,HR,0.998457713,0.001542287,0.996915426,1,TRUE,FALSE,1,NA
0.43,0.14,1.8,5.36,0.89,0.87,0.78,0.4,0.39,0.17,0.68,0.51,7.93,0.17,0.35,0.18,0.32,1,204.57,613.7,5.01,2.99,129.2,409.13,333.77,0.76,0.54,0.8,312.23,441.43,323,0.2,624.46,58.59,129.2,-58.59,5,0.84,0.31,0.1,0.85,0.9,129.2,0.54,0.18,0.53,HR,0.997992651,0.002007349,0.995985302,1,TRUE,FALSE,1,NA
0.34,0.09,2.06,6.32,0.76,0.88,0.68,0.14,0.33,0.06,0.46,0.4,2.09,0.31,0.06,-1.03,0.36,0.25,215.31,398.33,4.29,3.32,75.36,183.02,322.97,0.43,0.06,0.13,290.67,366.03,301.44,0.54,419.86,8.48,204.55,-6.06,3,0.39,0.32,0.18,0.57,0.71,75.36,0.25,0.26,0.42,HR,0.143181694,0.856818306,0.713636612,2,FALSE,TRUE,NA,2
0.34,0.1,2.05,6.35,0.78,0.88,0.69,0.17,0.34,0.2,0.42,0.22,3.5,0.42,0.31,-0.41,0.4,0.27,215.31,409.09,4.2,3.24,86.13,193.78,366.03,0.59,0.09,0.18,301.44,387.56,398.33,0,398.33,7.27,183.02,-13.32,4,0.69,0.38,0.21,0.72,0.9,86.12,0.34,0.23,0.39,HR,0.618227513,0.381772487,0.236455025,1,FALSE,TRUE,NA,1
0.39,0.09,2.95,13.34,0.79,0.87,0.69,0.15,0.36,0.06,0.46,0.4,1.82,0.2,0.06,-0.46,0.43,0.32,269.14,462.92,3.65,3.26,64.59,193.78,441.39,0.69,0.04,0.16,387.56,452.16,441.39,0.82,441.39,9.69,161.48,-13.32,2,0.69,0.57,0.31,0.71,0.83,64.59,0.14,0.22,0.45,HR,0.860353138,0.139646862,0.720706276,1,FALSE,TRUE,NA,1
0.31,0.11,2.21,7.04,0.79,0.88,0.7,0.2,0.27,0.13,0.53,0.4,1.73,0.13,0.53,1.4,0.28,0.29,215.31,387.56,4.32,3.34,75.36,172.25,290.67,0.65,0.11,0.17,247.61,322.97,322.97,0.98,505.98,25.43,161.48,-8.48,3,0.81,0.45,0.32,0.84,0.94,75.36,0.39,0.18,0.33,HR,0.832434285,0.167565715,0.66486857,1,FALSE,TRUE,NA,1
0.35,0.11,1.54,3.96,0.82,0.88,0.72,0.2,0.36,0.2,0.5,0.29,2.13,0.31,0.35,0.13,0.24,0.29,215.31,473.69,4.44,3.2,118.42,258.38,269.14,0.34,0.07,0.19,236.84,355.27,236.84,0.42,473.69,10.9,204.55,-15.74,1,0.25,0.25,0.16,0.5,0.81,118.42,0.25,0.24,0.48,HR,0.157108603,0.842891397,0.685782795,2,FALSE,TRUE,NA,2
0.34,0.1,1.68,4.37,0.8,0.87,0.7,0.18,0.33,0.2,0.46,0.26,2,0.2,0.35,0.46,0.28,0.32,215.31,419.86,4.56,3.15,107.66,204.55,301.44,0.46,0.15,0.24,247.61,355.27,236.84,0.45,419.86,7.27,183.02,-3.63,1,0.29,0.31,0.17,0.8,0.94,107.66,0.49,0.22,0.42,HR,0.445204786,0.554795214,0.109590427,2,FALSE,TRUE,NA,2
0.38,0.12,1.65,4.86,0.84,0.87,0.73,0.21,0.39,0.09,0.57,0.48,1.92,0.09,0.35,0.74,0.36,0.35,215.31,549.05,4.8,3.21,226.08,333.73,355.27,0.44,0.17,0.28,269.14,495.22,538.28,0.37,549.05,14.53,204.55,-12.11,1,0.72,0.28,0.15,0.77,0.95,226.08,0.49,0.23,0.54,HR,0.978411198,0.021588802,0.956822397,1,FALSE,FALSE,NA,NA
